Year, Population, Births, Deaths, Natural Change, CBR, CDR, NCR, IMR, TFR, LE
1951,554559502,12112425,6609794,5502631,21.8,11.9,9.9,-0.8,2.66,62.8
1952,559609904,12142368,6265135,5877233,21.7,11.2,10.5,-0.8,2.66,64.0
1953,565058633,12120826,6220937,5899889,21.5,11.0,10.4,-0.5,2.64,64.7
1954,570670994,12151779,6072645,6079134,21.3,10.6,10.7,-0.8,2.64,65.5
1955,576304974,12134270,5987151,6147119,21.1,10.4,10.7,-0.9,2.63,66.0
1956,581975516,12133583,5899594,6233989,20.8,10.1,10.7,-0.8,2.62,66.9
1957,587711635,12194100,5963269,6230831,20.7,10.1,10.6,-0.5,2.62,66.9
1958,593669297,12177600,5647571,6530029,20.5,9.5,11.0,-0.9,2.60,68.2
1959,599684870,12178245,5816056,6362189,20.3,9.7,10.6,-0.7,2.60,68.1
1960,605629870,12098378,5783828,6314550,20.0,9.6,10.4,-0.4,2.58,68.8
1961,611711020,11990399,5749292,6241107,19.6,9.4,10.2,-0.5,2.56,69.1
1962,617672206,11784056,6023706,5760350,19.1,9.8,9.3,-0.1,2.53,68.9
1963,623335994,11654646,6031219,5623427,18.7,9.7,9.0,0,2.52,69.2
1964,628944878,11467618,5843514,5624104,18.2,9.3,8.9,-0.4,2.50,69.9
1965,634267606,11141596,6058752,5082844,17.6,9.6,8.0,-0.1,2.45,69.8
1966,639264461,10950076,6074808,4875268,17.1,9.5,7.6,0,2.42,70.0
1967,644114436,10969039,6204646,4764393,17.0,9.6,7.4,-0.4,2.42,70.0
1968,648610191,10821004,6427622,4393382,16.7,9.9,6.8,-0.4,2.38,69.9
1969,652740596,10685498,6652543,4032955,16.4,10.2,6.2,-0.4,2.33,69.6
1970,656521426,10568071,6602177,3965894,16.1,10.1,6.0,0,2.28,70.0
1971,660476010,10662541,6675051,3987490,16.1,10.1,6.0,0.5,2.27,70.1
1972,664799679,10499844,6699913,3799931,15.8,10.1,5.7,0.5,2.21,70.3
1973,668909022,10322172,6814598,3507574,15.4,10.2,5.2,0.8,2.14,70.4
1974,672912941,10406013,6818259,3587754,15.5,10.1,5.3,0.4,2.13,70.6
1975,676770845,10285047,7009188,3275859,15.2,10.4,4.8,0.5,2.07,70.5
1976,680361150,10242399,7085837,3156562,15.1,10.4,4.6,0.5,2.03,70.6
1977,683848710,10171264,7039667,3131597,14.9,10.3,4.6,0.2,1.99,70.9
1978,687149553,10143418,7183531,2959887,14.8,10.5,4.3,0.3,1.96,70.9
1979,690287705,10159933,7268744,2891189,14.7,10.5,4.2,0.4,1.95,71.0
1980,693437228,10156371,7422720,2733651,14.6,10.7,3.9,0.4,1.93,70.9
1981,696429190,10053030,7404116,2648914,14.4,10.6,3.8,0.2,1.89,71.2
1982,699220370,10102647,7373734,2728913,14.4,10.5,3.9,0.1,1.89,71.5
1983,702014774,10078184,7562097,2516087,14.4,10.8,3.6,0.4,1.87,71.5
1984,704798623,10050688,7584914,2465774,14.3,10.8,3.5,0.4,1.86,71.6
1985,707516287,9969920,7702883,2267037,14.1,10.9,3.2,0.9,1.84,71.7
1986,710385076,9987274,7423641,2563633,14.1,10.5,3.6,0.7,1.84,72.5
1987,713465338,9966304,7407417,2558887,14.0,10.4,3.6,0.6,1.84,72.7
1988,716444431,9840567,7475880,2364687,13.7,10.4,3.3,0.4,1.82,72.8
1989,719107883,9495117,7527904,1967213,13.2,10.5,2.7,0.6,1.76,72.9
1990,721497282,9235425,7681197,1554228,12.8,10.6,2.2,0.7,1.72,72.9
1991,723602898,8888909,7796555,1092354,12.3,10.8,1.5,0.8,1.66,72.9
1992,725259493,8523515,7935829,587686,11.8,10.9,0.8,0.8,1.60,72.7
1993,726441892,8138793,8412609,-273816,11.2,11.6,-0.4,1.4,1.53,72.1
1994,727063162,7913453,8492472,-579019,10.9,11.7,-0.8,1.1,1.50,72.1
1995,727300408,7663831,8553348,-889517,10.5,11.8,-1.2,1.4,1.46,72.2
1996,727453566,7581575,8394631,-813056,10.4,11.5,-1.1,1.3,1.45,72.7
1997,727566480,7476674,8240385,-763711,10.3,11.3,-1.0,0.8,1.43,73.2
1998,727445606,7369527,8193143,-823616,10.1,11.3,-1.1,0.6,1.42,73.6
1999,727100016,7264382,8402774,-1138392,10.0,11.6,-1.6,1.4,1.40,73.4
2000,726968473,7325763,8401888,-1076125,10.1,11.6,-1.5,1.4,1.42,73.5
2001,726878371,7277594,8364598,-1087004,10.0,11.5,-1.5,1.6,1.41,73.8
2002,726939358,7330526,8520890,-1190364,10.1,11.7,-1.6,2.3,1.42,73.8
2003,727424988,7442475,8655471,-1212996,10.2,11.9,-1.7,2.7,1.45,73.8
2004,728163243,7558652,8381363,-822711,10.4,11.5,-1.1,2.2,1.47,74.4
2005,728950486,7568637,8494391,-925754,10.4,11.7,-1.3,2.5,1.47,74.5
2006,729857708,7703029,8237212,-534183,10.6,11.3,-0.7,2.8,1.50,75.2
2007,731393136,7886129,8187820,-301691,10.8,11.2,-0.4,2.9,1.54,75.6
2008,733256182,8169398,8195293,-25895,11.1,11.2,0.0,2.2,1.59,75.8
2009,734902805,8208268,8099043,109225,11.2,11.0,0.1,1.8,1.60,76.3
2010,736276813,8227484,8128387,99097,11.2,11.0,0.1,1.7,1.61,76.5
2011,737589666,8132980,7958960,174020,11.0,10.8,0.2,1.6,1.60,77.1
2012,738907594,8178804,8078292,100512,11.1,10.9,0.1,1.4,1.62,77.3
2013,740013806,8039791,8033963,5828,10.9,10.9,0.0,1.4,1.60,77.6
2014,741014147,8067454,7955740,111714,10.9,10.7,0.2,1.3,1.62,77.9
2015,742107449,8004465,8177599,-173134,10.8,11.0,-0.2,1.8,1.62,78.0
2016,743318582,7950684,8009194,-58510,10.7,10.8,-0.1,1.6,1.62,78.4
2017,744449361,7617755,8076159,-458404,10.2,10.8,-0.6,1.8,1.56,78.7
2018,745359130,7375157,8112356,-737199,9.9,10.9,-1.0,2.1,1.53,78.8
2019,746189645,7108392,8020246,-911854,9.5,10.7,-1.2,1.2,1.49,79.1
